code;city
4221;All Gold Coast QLD
4223;All Gold Coast QLD
4224;All Gold Coast QLD
4225;All Gold Coast QLD
4226;All Gold Coast QLD
4227;All Gold Coast QLD
4228;All Gold Coast QLD
4270;All Gold Coast QLD
4271;All Gold Coast QLD
4272;All Gold Coast QLD
4275;All Gold Coast QLD
4285;All Gold Coast QLD
4287;All Gold Coast QLD
4307;All Gold Coast QLD
4309;All Gold Coast QLD
4310;All Gold Coast QLD
7000;All Hobart TAS
7004;All Hobart TAS
7005;All Hobart TAS
7007;All Hobart TAS
7008;All Hobart TAS
7009;All Hobart TAS
7010;All Hobart TAS
7011;All Hobart TAS
7012;All Hobart TAS
7015;All Hobart TAS
7017;All Hobart TAS
7016;All Hobart TAS
7018;All Hobart TAS
7019;All Hobart TAS
7020;All Hobart TAS
7022;All Hobart TAS
7023;All Hobart TAS
7021;All Hobart TAS
7024;All Hobart TAS
7025;All Hobart TAS
7050;All Hobart TAS
7053;All Hobart TAS
7054;All Hobart TAS
7055;All Hobart TAS
7150;All Hobart TAS
7155;All Hobart TAS
7162;All Hobart TAS
7163;All Hobart TAS
7170;All Hobart TAS
3847;Bairnsdale & Gippsland VIC
3850;Bairnsdale & Gippsland VIC
3851;Bairnsdale & Gippsland VIC
3852;Bairnsdale & Gippsland VIC
3857;Bairnsdale & Gippsland VIC
3858;Bairnsdale & Gippsland VIC
3859;Bairnsdale & Gippsland VIC
3860;Bairnsdale & Gippsland VIC
3862;Bairnsdale & Gippsland VIC
3864;Bairnsdale & Gippsland VIC
3865;Bairnsdale & Gippsland VIC
3871;Bairnsdale & Gippsland VIC
3873;Bairnsdale & Gippsland VIC
3874;Bairnsdale & Gippsland VIC
3875;Bairnsdale & Gippsland VIC
3878;Bairnsdale & Gippsland VIC
3880;Bairnsdale & Gippsland VIC
3882;Bairnsdale & Gippsland VIC
3885;Bairnsdale & Gippsland VIC
3886;Bairnsdale & Gippsland VIC
3887;Bairnsdale & Gippsland VIC
3888;Bairnsdale & Gippsland VIC
3889;Bairnsdale & Gippsland VIC
3890;Bairnsdale & Gippsland VIC
3891;Bairnsdale & Gippsland VIC
3892;Bairnsdale & Gippsland VIC
3893;Bairnsdale & Gippsland VIC
3895;Bairnsdale & Gippsland VIC
3896;Bairnsdale & Gippsland VIC
3898;Bairnsdale & Gippsland VIC
3900;Bairnsdale & Gippsland VIC
3902;Bairnsdale & Gippsland VIC
3903;Bairnsdale & Gippsland VIC
3904;Bairnsdale & Gippsland VIC
3909;Bairnsdale & Gippsland VIC
3945;Bairnsdale & Gippsland VIC
3946;Bairnsdale & Gippsland VIC
3950;Bairnsdale & Gippsland VIC
3951;Bairnsdale & Gippsland VIC
